bases, rmsf,
95, 0.2258, 
96, 0.1972, 
97, 0.1806, 
98, 0.1647, 
99, 0.1304, 
100, 0.1072, 
101, 0.1004, 
102, 0.1105, 
103, 0.1088, 
104, 0.1185, 
105, 0.1483, 
106, 0.1697, 
107, 0.1755, 
108, 0.1731, 
109, 0.1796, 
110, 0.1527, 
111, 0.1197, 
112, 0.1308, 
113, 0.1678, 
114, 0.1848, 
115, 0.1880, 
178, 0.1563, 
179, 0.1786, 
180, 0.1998, 
181, 0.2113, 
182, 0.1994, 
183, 0.1957, 
184, 0.1792, 
185, 0.1486, 
186, 0.1213, 
187, 0.1457, 
188, 0.1470, 
189, 0.1380, 
190, 0.1277, 
191, 0.1187, 
192, 0.1216, 
193, 0.1550, 
194, 0.1512, 
195, 0.1268, 
196, 0.1194, 
197, 0.1375, 
198, 0.1546, 
