bases, rmsf,
53, 0.1709, 
54, 0.1801, 
55, 0.1783, 
56, 0.1764, 
57, 0.1682, 
58, 0.1592, 
59, 0.4635, 
60, 0.0990, 
61, 0.1171, 
62, 0.1416, 
63, 0.1543, 
64, 0.1488, 
65, 0.1339, 
66, 0.1251, 
67, 0.1112, 
68, 0.1297, 
69, 0.1198, 
70, 0.1017, 
71, 0.1247, 
72, 0.1404, 
73, 0.1543, 
220, 0.1430, 
221, 0.1529, 
222, 0.1695, 
223, 0.1713, 
224, 0.1732, 
225, 0.1492, 
226, 0.1063, 
227, 0.0862, 
228, 0.0852, 
229, 0.0888, 
230, 0.1119, 
231, 0.1388, 
232, 0.1608, 
233, 0.1556, 
234, 0.1550, 
235, 0.1727, 
236, 0.1514, 
237, 0.1180, 
238, 0.1094, 
239, 0.1372, 
240, 0.1558, 
