bases, rmsf,
32, 0.1193, 
33, 0.1585, 
34, 0.2171, 
35, 0.2436, 
36, 0.2307, 
37, 0.2055, 
38, 0.1942, 
39, 0.1492, 
40, 0.1156, 
41, 0.1248, 
42, 0.1483, 
43, 0.1557, 
44, 0.1567, 
45, 0.1574, 
46, 0.1590, 
47, 0.1546, 
48, 0.1476, 
49, 0.1209, 
50, 0.1114, 
51, 0.1219, 
52, 0.1484, 
241, 0.1567, 
242, 0.1696, 
243, 0.1607, 
244, 0.1468, 
245, 0.1321, 
246, 0.1093, 
247, 0.1014, 
248, 0.1307, 
249, 0.1475, 
250, 0.1563, 
251, 0.1706, 
252, 0.1821, 
253, 0.1804, 
254, 0.2124, 
255, 0.1889, 
256, 0.1447, 
257, 0.1215, 
258, 0.1425, 
259, 0.1924, 
260, 0.2110, 
261, 0.1938, 
