bases, rmsf,
74, 0.1563, 
75, 0.1505, 
76, 0.1486, 
77, 0.1366, 
78, 0.1147, 
79, 0.1139, 
80, 0.0882, 
81, 0.0854, 
82, 0.0926, 
83, 0.1183, 
84, 0.1527, 
85, 0.1659, 
86, 0.1651, 
87, 0.1769, 
88, 0.1932, 
89, 0.1643, 
90, 0.1061, 
91, 0.1017, 
92, 0.1305, 
93, 0.1596, 
94, 0.1754, 
199, 0.1612, 
200, 0.1816, 
201, 0.1848, 
202, 0.1826, 
203, 0.1738, 
204, 0.1923, 
205, 0.1593, 
206, 0.1190, 
207, 0.0983, 
208, 0.1221, 
209, 0.1512, 
210, 0.1470, 
211, 0.1457, 
212, 0.1712, 
213, 0.1664, 
214, 0.1100, 
215, 0.0974, 
216, 0.0896, 
217, 0.0907, 
218, 0.1169, 
219, 0.1340, 
