bases, rmsf,
32, 0.1643, 
33, 0.1581, 
34, 0.1655, 
35, 0.1656, 
36, 0.1670, 
37, 0.1505, 
38, 0.1364, 
39, 0.1048, 
40, 0.1029, 
41, 0.1194, 
42, 0.1323, 
43, 0.1334, 
44, 0.1344, 
45, 0.1371, 
46, 0.1286, 
47, 0.1279, 
48, 0.1240, 
49, 0.1185, 
50, 0.1173, 
51, 0.1346, 
52, 0.1562, 
241, 0.1540, 
242, 0.1753, 
243, 0.1593, 
244, 0.1294, 
245, 0.1093, 
246, 0.0905, 
247, 0.0910, 
248, 0.1112, 
249, 0.1157, 
250, 0.1260, 
251, 0.1410, 
252, 0.1510, 
253, 0.1607, 
254, 0.1621, 
255, 0.1517, 
256, 0.1139, 
257, 0.0940, 
258, 0.1165, 
259, 0.1413, 
260, 0.1583, 
261, 0.1674, 
