bases, rmsf,
53, 0.1758, 
54, 0.1901, 
55, 0.1866, 
56, 0.1823, 
57, 0.1704, 
58, 0.1548, 
59, 0.1234, 
60, 0.1096, 
61, 0.1411, 
62, 0.1786, 
63, 0.1697, 
64, 0.1562, 
65, 0.1428, 
66, 0.1353, 
67, 0.1147, 
68, 0.1136, 
69, 0.1071, 
70, 0.0951, 
71, 0.1263, 
72, 0.1420, 
73, 0.1573, 
220, 0.1487, 
221, 0.1607, 
222, 0.1864, 
223, 0.1816, 
224, 0.1525, 
225, 0.1280, 
226, 0.1042, 
227, 0.0848, 
228, 0.0837, 
229, 0.0900, 
230, 0.1149, 
231, 0.1439, 
232, 0.1774, 
233, 0.1870, 
234, 0.1801, 
235, 0.1811, 
236, 0.1673, 
237, 0.1390, 
238, 0.1107, 
239, 0.1315, 
240, 0.1553, 
