bases, rmsf,
53, 0.1782, 
54, 0.1880, 
55, 0.1757, 
56, 0.1637, 
57, 0.1450, 
58, 0.1199, 
59, 0.1049, 
60, 0.0916, 
61, 0.1007, 
62, 0.1261, 
63, 0.1411, 
64, 0.1338, 
65, 0.1201, 
66, 0.1168, 
67, 0.1012, 
68, 0.1268, 
69, 0.1157, 
70, 0.0953, 
71, 0.1255, 
72, 0.1427, 
73, 0.1579, 
220, 0.1511, 
221, 0.1619, 
222, 0.1789, 
223, 0.1774, 
224, 0.1752, 
225, 0.1527, 
226, 0.0974, 
227, 0.0817, 
228, 0.0753, 
229, 0.0790, 
230, 0.1044, 
231, 0.1225, 
232, 0.1456, 
233, 0.1454, 
234, 0.1255, 
235, 0.1201, 
236, 0.1156, 
237, 0.0996, 
238, 0.0968, 
239, 0.1257, 
240, 0.1525, 
