bases, rmsf,
95, 0.1702, 
96, 0.1796, 
97, 0.1584, 
98, 0.1318, 
99, 0.1007, 
100, 0.0862, 
101, 0.0798, 
102, 0.0970, 
103, 0.0961, 
104, 0.1011, 
105, 0.1336, 
106, 0.1497, 
107, 0.1681, 
108, 0.1720, 
109, 0.1575, 
110, 0.1244, 
111, 0.1082, 
112, 0.1068, 
113, 0.1331, 
114, 0.1505, 
115, 0.1536, 
178, 0.1122, 
179, 0.1335, 
180, 0.1574, 
181, 0.1620, 
182, 0.1555, 
183, 0.1504, 
184, 0.1575, 
185, 0.1345, 
186, 0.1372, 
187, 0.1374, 
188, 0.1530, 
189, 0.1449, 
190, 0.1339, 
191, 0.1363, 
192, 0.1229, 
193, 0.1402, 
194, 0.1298, 
195, 0.1052, 
196, 0.0958, 
197, 0.1398, 
198, 0.1556, 
