bases, rmsf,
95, 0.1657, 
96, 0.1745, 
97, 0.1685, 
98, 0.1493, 
99, 0.1235, 
100, 0.0978, 
101, 0.0883, 
102, 0.1099, 
103, 0.1110, 
104, 0.1244, 
105, 0.1368, 
106, 0.1429, 
107, 0.1588, 
108, 0.1677, 
109, 0.1592, 
110, 0.1320, 
111, 0.1208, 
112, 0.1334, 
113, 0.1755, 
114, 0.1876, 
115, 0.1792, 
178, 0.1125, 
179, 0.1543, 
180, 0.1996, 
181, 0.2097, 
182, 0.1965, 
183, 0.1739, 
184, 0.1536, 
185, 0.1236, 
186, 0.1075, 
187, 0.1187, 
188, 0.1389, 
189, 0.1434, 
190, 0.1412, 
191, 0.1464, 
192, 0.1399, 
193, 0.1455, 
194, 0.1261, 
195, 0.1063, 
196, 0.1016, 
197, 0.1258, 
198, 0.1210, 
